Location,Impact/Control,Site,Before/After,Year,Time,Habitat,Season,After 1 & 2,Total Abund,Rhabdosargus sarba,Acanthopagrus australis,Pagrus auratus,Site2
Botany Bay,Control,RC3,Before,1,18/04/2006,NR,Aut,Before,8,0,0,0,RC3
Botany Bay,Control,RC3,Before,1,10/05/2006,NR,Aut,Before,27,0,0,21,RC3
Botany Bay,Control,RC3,Before,1,17/05/2006,NR,Aut,Before,21,0,0,0,RC3
Botany Bay,Control,RC3,Before,1,31/05/2006,NR,Aut,Before,14,0,0,0,RC3
Botany Bay,Control,RC3,After,2,23/01/2007,NR,Sum,After 1,4,0,1,0,RC3
Botany Bay,Control,RC3,After,2,23/02/2007,NR,Sum,After 1,0,0,0,0,RC3
Botany Bay,Control,RC3,After,2,22/03/2007,NR,Aut,After 1,26,0,0,18,RC3
Botany Bay,Control,RC3,After,2,3/04/2007,NR,Aut,After 1,25,0,0,8,RC3
Botany Bay,Control,RC3,After,2,4/05/2007,NR,Aut,After 1,1,0,1,0,RC3
Botany Bay,Control,RC3,After,2,8/05/2007,NR,Aut,After 1,41,0,0,3,RC3
Botany Bay,Control,RC3,After,2,17/05/2007,NR,Aut,After 1,2,0,0,0,RC3
Botany Bay,Control,RC3,After,2,31/05/2007,NR,Aut,After 1,4,0,0,0,RC3
Botany Bay,Control,RC3,After,3,15/01/2008,NR,Sum,After 2,3,0,0,0,RC3
Botany Bay,Control,RC3,After,3,12/02/2008,NR,Sum,After 2,16,1,8,2,RC3
Botany Bay,Control,RC3,After,3,26/03/2008,NR,Aut,After 2,1,0,0,0,RC3
Botany Bay,Control,RC3,After,3,1/05/2008,NR,Aut,After 2,7,0,0,6,RC3
Botany Bay,Control,RC3,After,3,23/05/2008,NR,Aut,After 2,2,0,0,0,RC3
Botany Bay,Control,RC3,After,3,27/06/2008,NR,Aut,After 2,9,0,0,9,RC3
Lake Macquarie,Control,RC3,Before,1,30/09/2005,NR,N/A,Before,26,0,1,0,RC3
Lake Macquarie,Control,RC3,Before,1,11/10/2005,NR,N/A,Before,5,0,0,0,RC3
Lake Macquarie,Control,RC3,Before,1,27/10/2005,NR,N/A,Before,14,0,9,0,RC3
Lake Macquarie,Control,RC3,Before,1,3/11/2005,NR,N/A,Before,14,0,0,1,RC3
Lake Macquarie,Control,RC3,Before,1,9/11/2005,NR,N/A,Before,21,0,8,0,RC3
Lake Macquarie,Control,RC3,Before,1,29/11/2005,NR,N/A,Before,29,0,8,0,RC3
Lake Macquarie,Control,RC3,After,2,8/09/2006,NR,N/A,After 1,2,0,2,0,RC3
Lake Macquarie,Control,RC3,After,2,18/09/2006,NR,N/A,After 1,51,0,4,0,RC3
Lake Macquarie,Control,RC3,After,2,11/10/2006,NR,N/A,After 1,60,0,33,1,RC3
Lake Macquarie,Control,RC3,After,2,20/10/2006,NR,N/A,After 1,13,0,10,2,RC3
Lake Macquarie,Control,RC3,After,2,6/11/2006,NR,N/A,After 1,25,0,25,0,RC3
Lake Macquarie,Control,RC3,After,3,4/10/2007,NR,N/A,After 2,29,5,19,1,RC3
Lake Macquarie,Control,RC3,After,3,5/10/2007,NR,N/A,After 2,28,6,22,0,RC3
Lake Macquarie,Control,RC3,After,3,25/10/2007,NR,N/A,After 2,26,6,18,1,RC3
Lake Macquarie,Control,RC3,After,3,26/10/2007,NR,N/A,After 2,20,3,13,0,RC3
Lake Macquarie,Control,RC3,After,3,8/11/2007,NR,N/A,After 2,21,4,16,0,RC3
Lake Macquarie,Control,RC3,After,3,9/11/2007,NR,N/A,After 2,32,9,19,0,RC3
St Georges Basin,Control,RC3,Before,1,7/10/2006,NR,N/A,Before,0,0,0,0,RC3
St Georges Basin,Control,RC3,Before,1,13/10/2006,NR,N/A,Before,0,0,0,0,RC3
St Georges Basin,Control,RC3,Before,1,12/11/2006,NR,N/A,Before,1,0,1,0,RC3
St Georges Basin,Control,RC3,Before,1,21/12/2006,NR,N/A,Before,26,0,0,0,RC3
St Georges Basin,Control,RC3,Before,1,20/01/2007,NR,N/A,Before,1,0,0,0,RC3
St Georges Basin,Control,RC3,Before,1,5/02/2007,NR,N/A,Before,3,0,0,0,RC3
St Georges Basin,Control,RC3,After,2,18/10/2007,NR,N/A,After 1,5,0,5,0,RC3
St Georges Basin,Control,RC3,After,2,30/10/2007,NR,N/A,After 1,2,0,2,0,RC3
St Georges Basin,Control,RC3,After,2,31/10/2007,NR,N/A,After 1,8,5,3,0,RC3
St Georges Basin,Control,RC3,After,2,20/11/2007,NR,N/A,After 1,14,5,9,0,RC3
St Georges Basin,Control,RC3,After,2,21/11/2007,NR,N/A,After 1,17,3,13,0,RC3
St Georges Basin,Control,RC3,After,2,19/12/2007,NR,N/A,After 1,24,4,10,3,RC3
St Georges Basin,Control,RC3,After,3,16/10/2008,NR,N/A,After 2,20,6,14,0,RC3
St Georges Basin,Control,RC3,After,3,6/11/2008,NR,N/A,After 2,20,3,16,0,RC3
St Georges Basin,Control,RC3,After,3,2/12/2008,NR,N/A,After 2,12,6,6,0,RC3
St Georges Basin,Control,RC3,After,3,9/12/2008,NR,N/A,After 2,7,1,6,0,RC3
Botany Bay,Control,RC2,Before,1,4/01/2006,NR,Sum,Before,7,0,0,0,RC2
Botany Bay,Control,RC2,Before,1,12/01/2006,NR,Sum,Before,143,0,0,0,RC2
Botany Bay,Control,RC2,Before,1,9/02/2006,NR,Sum,Before,4,0,3,0,RC2
Botany Bay,Control,RC2,Before,1,14/02/2006,NR,Sum,Before,152,0,0,0,RC2
Botany Bay,Control,RC2,Before,1,25/02/2006,NR,Sum,Before,27,0,0,2,RC2
Botany Bay,Control,RC2,Before,1,27/02/2006,NR,Sum,Before,1,0,0,0,RC2
Botany Bay,Control,RC2,Before,1,17/03/2006,NR,Aut,Before,9,0,0,1,RC2
Botany Bay,Control,RC2,Before,1,5/04/2006,NR,Aut,Before,9,0,0,0,RC2
Botany Bay,Control,RC2,Before,1,18/04/2006,NR,Aut,Before,64,0,0,5,RC2
Botany Bay,Control,RC2,Before,1,10/05/2006,NR,Aut,Before,9,0,0,0,RC2
Botany Bay,Control,RC2,Before,1,17/05/2006,NR,Aut,Before,14,0,0,0,RC2
Botany Bay,Control,RC2,Before,1,31/05/2006,NR,Aut,Before,0,0,0,0,RC2
Botany Bay,Control,RC2,After,2,5/01/2007,NR,Sum,After 1,7,0,0,0,RC2
Botany Bay,Control,RC2,After,2,23/01/2007,NR,Sum,After 1,13,0,0,0,RC2
Botany Bay,Control,RC2,After,2,15/02/2007,NR,Sum,After 1,4,0,0,0,RC2
Botany Bay,Control,RC2,After,2,23/02/2007,NR,Sum,After 1,17,0,0,0,RC2
Botany Bay,Control,RC2,After,2,28/02/2007,NR,Sum,After 1,28,0,0,0,RC2
Botany Bay,Control,RC2,After,2,22/03/2007,NR,Aut,After 1,28,0,0,6,RC2
Botany Bay,Control,RC2,After,2,3/04/2007,NR,Aut,After 1,49,0,0,2,RC2
Botany Bay,Control,RC2,After,2,4/05/2007,NR,Aut,After 1,81,0,0,1,RC2
Botany Bay,Control,RC2,After,2,31/05/2007,NR,Aut,After 1,81,0,0,3,RC2
Botany Bay,Control,RC2,After,3,15/01/2008,NR,Sum,After 2,5,0,0,0,RC2
Botany Bay,Control,RC2,After,3,25/01/2008,NR,Sum,After 2,72,0,0,1,RC2
Botany Bay,Control,RC2,After,3,6/02/2008,NR,Sum,After 2,140,0,0,13,RC2
Botany Bay,Control,RC2,After,3,12/02/2008,NR,Sum,After 2,0,0,0,0,RC2
Botany Bay,Control,RC2,After,3,26/03/2008,NR,Aut,After 2,8,0,0,1,RC2
Botany Bay,Control,RC2,After,3,1/05/2008,NR,Aut,After 2,34,0,0,2,RC2
Botany Bay,Control,RC2,After,3,27/06/2008,NR,Aut,After 2,29,0,0,3,RC2
Lake Macquarie,Control,RC2,Before,1,30/09/2005,NR,N/A,Before,0,0,0,0,RC2
Lake Macquarie,Control,RC2,Before,1,11/10/2005,NR,N/A,Before,21,0,0,0,RC2
Lake Macquarie,Control,RC2,Before,1,27/10/2005,NR,N/A,Before,0,0,0,0,RC2
Lake Macquarie,Control,RC2,Before,1,3/11/2005,NR,N/A,Before,8,0,4,0,RC2
Lake Macquarie,Control,RC2,Before,1,9/11/2005,NR,N/A,Before,1,0,0,0,RC2
Lake Macquarie,Control,RC2,Before,1,29/11/2005,NR,N/A,Before,3,0,3,0,RC2
Lake Macquarie,Control,RC2,After,2,8/09/2006,NR,N/A,After 1,10,0,0,0,RC2
Lake Macquarie,Control,RC2,After,2,18/09/2006,NR,N/A,After 1,5,0,5,0,RC2
Lake Macquarie,Control,RC2,After,2,20/10/2006,NR,N/A,After 1,10,2,0,0,RC2
Lake Macquarie,Control,RC2,After,2,6/11/2006,NR,N/A,After 1,4,0,0,0,RC2
Lake Macquarie,Control,RC2,After,2,30/11/2006,NR,N/A,After 1,5,0,0,0,RC2
Lake Macquarie,Control,RC2,After,3,4/10/2007,NR,N/A,After 2,29,3,3,2,RC2
Lake Macquarie,Control,RC2,After,3,5/10/2007,NR,N/A,After 2,21,3,7,3,RC2
Lake Macquarie,Control,RC2,After,3,25/10/2007,NR,N/A,After 2,3,0,0,0,RC2
Lake Macquarie,Control,RC2,After,3,8/11/2007,NR,N/A,After 2,2,0,1,0,RC2
Lake Macquarie,Control,RC2,After,3,9/11/2007,NR,N/A,After 2,4,0,1,1,RC2
St Georges Basin,Control,RC2,Before,1,7/10/2006,NR,N/A,Before,9,5,0,0,RC2
St Georges Basin,Control,RC2,Before,1,13/10/2006,NR,N/A,Before,1,0,0,0,RC2
St Georges Basin,Control,RC2,Before,1,12/11/2006,NR,N/A,Before,0,0,0,0,RC2
St Georges Basin,Control,RC2,Before,1,21/12/2006,NR,N/A,Before,0,0,0,0,RC2
St Georges Basin,Control,RC2,Before,1,22/12/2006,NR,N/A,Before,2,0,0,0,RC2
St Georges Basin,Control,RC2,Before,1,10/01/2007,NR,N/A,Before,6,4,0,0,RC2
St Georges Basin,Control,RC2,Before,1,19/01/2007,NR,N/A,Before,1,0,0,0,RC2
St Georges Basin,Control,RC2,Before,1,20/01/2007,NR,N/A,Before,1,0,0,0,RC2
St Georges Basin,Control,RC2,Before,1,5/02/2007,NR,N/A,Before,32,0,0,0,RC2
St Georges Basin,Control,RC2,After,2,18/10/2007,NR,N/A,After 1,1,1,0,0,RC2
St Georges Basin,Control,RC2,After,2,30/10/2007,NR,N/A,After 1,0,0,0,0,RC2
St Georges Basin,Control,RC2,After,2,20/11/2007,NR,N/A,After 1,5,3,0,0,RC2
St Georges Basin,Control,RC2,After,2,21/11/2007,NR,N/A,After 1,10,1,8,0,RC2
St Georges Basin,Control,RC2,After,2,19/12/2007,NR,N/A,After 1,0,0,0,0,RC2
St Georges Basin,Control,RC2,After,3,16/10/2008,NR,N/A,After 2,8,5,3,0,RC2
St Georges Basin,Control,RC2,After,3,9/12/2008,NR,N/A,After 2,1,1,0,0,RC2
St Georges Basin,Control,RC2,After,3,29/01/2009,NR,N/A,After 2,0,0,0,0,RC2
St Georges Basin,Control,RC2,After,3,30/01/2009,NR,N/A,After 2,3,0,3,0,RC2
Botany Bay,Control,RC1,Before,1,4/01/2006,NR,Sum,Before,67,0,0,0,RC1
Botany Bay,Control,RC1,Before,1,12/01/2006,NR,Sum,Before,84,0,0,6,RC1
Botany Bay,Control,RC1,Before,1,9/02/2006,NR,Sum,Before,1,0,0,0,RC1
Botany Bay,Control,RC1,Before,1,14/02/2006,NR,Sum,Before,23,0,2,0,RC1
Botany Bay,Control,RC1,Before,1,25/02/2006,NR,Sum,Before,1,0,0,0,RC1
Botany Bay,Control,RC1,Before,1,27/02/2006,NR,Sum,Before,9,0,0,3,RC1
Botany Bay,Control,RC1,Before,1,17/03/2006,NR,Aut,Before,15,0,1,0,RC1
Botany Bay,Control,RC1,Before,1,5/04/2006,NR,Aut,Before,28,0,1,16,RC1
Botany Bay,Control,RC1,Before,1,18/04/2006,NR,Aut,Before,14,0,0,1,RC1
Botany Bay,Control,RC1,Before,1,10/05/2006,NR,Aut,Before,108,0,0,1,RC1
Botany Bay,Control,RC1,Before,1,17/05/2006,NR,Aut,Before,113,0,0,0,RC1
Botany Bay,Control,RC1,After,2,5/01/2007,NR,Sum,After 1,1,0,0,0,RC1
Botany Bay,Control,RC1,After,2,23/01/2007,NR,Sum,After 1,4,0,0,0,RC1
Botany Bay,Control,RC1,After,2,15/02/2007,NR,Sum,After 1,45,0,0,1,RC1
Botany Bay,Control,RC1,After,2,23/02/2007,NR,Sum,After 1,256,0,0,1,RC1
Botany Bay,Control,RC1,After,2,28/02/2007,NR,Sum,After 1,122,0,0,10,RC1
Botany Bay,Control,RC1,After,2,22/03/2007,NR,Aut,After 1,2,0,0,0,RC1
Botany Bay,Control,RC1,After,2,3/04/2007,NR,Aut,After 1,34,0,0,12,RC1
Botany Bay,Control,RC1,After,2,4/05/2007,NR,Aut,After 1,22,0,0,19,RC1
Botany Bay,Control,RC1,After,2,8/05/2007,NR,Aut,After 1,37,0,0,21,RC1
Botany Bay,Control,RC1,After,2,17/05/2007,NR,Aut,After 1,14,0,0,13,RC1
Botany Bay,Control,RC1,After,2,31/05/2007,NR,Aut,After 1,24,0,3,14,RC1
Botany Bay,Control,RC1,After,3,15/01/2008,NR,Sum,After 2,34,0,0,2,RC1
Botany Bay,Control,RC1,After,3,25/01/2008,NR,Sum,After 2,78,1,0,2,RC1
Botany Bay,Control,RC1,After,3,12/02/2008,NR,Sum,After 2,123,0,1,14,RC1
Botany Bay,Control,RC1,After,3,23/05/2008,NR,Aut,After 2,19,1,0,9,RC1
Lake Macquarie,Control,RC1,Before,1,30/09/2005,NR,N/A,Before,22,0,0,0,RC1
Lake Macquarie,Control,RC1,Before,1,11/10/2005,NR,N/A,Before,0,0,0,0,RC1
Lake Macquarie,Control,RC1,Before,1,27/10/2005,NR,N/A,Before,0,0,0,0,RC1
Lake Macquarie,Control,RC1,Before,1,3/11/2005,NR,N/A,Before,0,0,0,0,RC1
Lake Macquarie,Control,RC1,Before,1,9/11/2005,NR,N/A,Before,56,0,2,0,RC1
Lake Macquarie,Control,RC1,Before,1,29/11/2005,NR,N/A,Before,39,0,2,0,RC1
Lake Macquarie,Control,RC1,After,2,8/09/2006,NR,N/A,After 1,14,0,1,1,RC1
Lake Macquarie,Control,RC1,After,2,18/09/2006,NR,N/A,After 1,1,0,1,0,RC1
Lake Macquarie,Control,RC1,After,2,11/10/2006,NR,N/A,After 1,6,0,0,0,RC1
Lake Macquarie,Control,RC1,After,2,6/11/2006,NR,N/A,After 1,32,0,0,0,RC1
Lake Macquarie,Control,RC1,After,2,30/11/2006,NR,N/A,After 1,1,0,0,0,RC1
Lake Macquarie,Control,RC1,After,3,5/10/2007,NR,N/A,After 2,4,1,1,0,RC1
Lake Macquarie,Control,RC1,After,3,25/10/2007,NR,N/A,After 2,2,0,2,0,RC1
Lake Macquarie,Control,RC1,After,3,8/11/2007,NR,N/A,After 2,3,0,3,0,RC1
Lake Macquarie,Control,RC1,After,3,9/11/2007,NR,N/A,After 2,13,1,3,2,RC1
St Georges Basin,Control,RC1,Before,1,7/10/2006,NR,N/A,Before,1,0,0,0,RC1
St Georges Basin,Control,RC1,Before,1,13/10/2006,NR,N/A,Before,0,0,0,0,RC1
St Georges Basin,Control,RC1,Before,1,12/11/2006,NR,N/A,Before,1,0,0,0,RC1
St Georges Basin,Control,RC1,Before,1,22/12/2006,NR,N/A,Before,0,0,0,0,RC1
St Georges Basin,Control,RC1,Before,1,10/01/2007,NR,N/A,Before,0,0,0,0,RC1
St Georges Basin,Control,RC1,Before,1,19/01/2007,NR,N/A,Before,1,0,0,0,RC1
St Georges Basin,Control,RC1,Before,1,5/02/2007,NR,N/A,Before,1,1,0,0,RC1
St Georges Basin,Control,RC1,After,2,18/10/2007,NR,N/A,After 1,0,0,0,0,RC1
St Georges Basin,Control,RC1,After,2,30/10/2007,NR,N/A,After 1,1,1,0,0,RC1
St Georges Basin,Control,RC1,After,2,31/10/2007,NR,N/A,After 1,15,5,0,0,RC1
St Georges Basin,Control,RC1,After,2,20/11/2007,NR,N/A,After 1,1,0,0,0,RC1
St Georges Basin,Control,RC1,After,2,21/11/2007,NR,N/A,After 1,0,0,0,0,RC1
St Georges Basin,Control,RC1,After,2,19/12/2007,NR,N/A,After 1,2,0,1,0,RC1
St Georges Basin,Control,RC1,After,3,16/10/2008,NR,N/A,After 2,2,2,0,0,RC1
St Georges Basin,Control,RC1,After,3,2/12/2008,NR,N/A,After 2,2,2,0,0,RC1
St Georges Basin,Control,RC1,After,3,3/12/2008,NR,N/A,After 2,6,3,0,0,RC1
St Georges Basin,Control,RC1,After,3,9/12/2008,NR,N/A,After 2,2,1,0,0,RC1
St Georges Basin,Control,RC1,After,3,30/01/2009,NR,N/A,After 2,0,0,0,0,RC1
Botany Bay,Impact,AR6,After,2,23/01/2007,AR,Sum,After 1,9,0,0,2,AR6
Botany Bay,Impact,AR6,After,2,15/02/2007,AR,Sum,After 1,3,0,1,1,AR6
Botany Bay,Impact,AR6,After,2,23/02/2007,AR,Sum,After 1,4,0,0,1,AR6
Botany Bay,Impact,AR6,After,2,28/02/2007,AR,Sum,After 1,25,0,0,0,AR6
Botany Bay,Impact,AR6,After,2,22/03/2007,AR,Aut,After 1,40,0,0,0,AR6
Botany Bay,Impact,AR6,After,2,3/04/2007,AR,Aut,After 1,6,0,0,2,AR6
Botany Bay,Impact,AR6,After,2,4/05/2007,AR,Aut,After 1,61,0,0,32,AR6
Botany Bay,Impact,AR6,After,2,8/05/2007,AR,Aut,After 1,5,0,0,3,AR6
Botany Bay,Impact,AR6,After,2,17/05/2007,AR,Aut,After 1,4,0,0,2,AR6
Botany Bay,Impact,AR6,After,2,31/05/2007,AR,Aut,After 1,105,0,0,76,AR6
Botany Bay,Impact,AR6,After,3,15/01/2008,AR,Sum,After 2,35,0,0,5,AR6
Botany Bay,Impact,AR6,After,3,25/01/2008,AR,Sum,After 2,1,0,0,1,AR6
Botany Bay,Impact,AR6,After,3,6/02/2008,AR,Sum,After 2,6,0,0,5,AR6
Botany Bay,Impact,AR6,After,3,12/02/2008,AR,Sum,After 2,22,8,0,8,AR6
Botany Bay,Impact,AR6,After,3,15/02/2008,AR,Sum,After 2,40,4,6,13,AR6
Botany Bay,Impact,AR6,After,3,26/03/2008,AR,Aut,After 2,20,0,0,2,AR6
Botany Bay,Impact,AR6,After,3,1/05/2008,AR,Aut,After 2,20,0,0,13,AR6
Botany Bay,Impact,AR6,After,3,23/05/2008,AR,Aut,After 2,47,0,0,11,AR6
Botany Bay,Impact,AR6,After,3,27/06/2008,AR,Aut,After 2,30,3,0,18,AR6
Lake Macquarie,Impact,AR6,After,2,8/09/2006,AR,N/A,After 1,56,1,4,3,AR6
Lake Macquarie,Impact,AR6,After,2,18/09/2006,AR,N/A,After 1,33,0,0,2,AR6
Lake Macquarie,Impact,AR6,After,2,11/10/2006,AR,N/A,After 1,42,0,1,4,AR6
Lake Macquarie,Impact,AR6,After,2,20/10/2006,AR,N/A,After 1,3,0,3,0,AR6
Lake Macquarie,Impact,AR6,After,2,6/11/2006,AR,N/A,After 1,29,0,0,1,AR6
Lake Macquarie,Impact,AR6,After,2,30/11/2006,AR,N/A,After 1,131,0,3,3,AR6
Lake Macquarie,Impact,AR6,After,3,4/10/2007,AR,N/A,After 2,8,2,4,1,AR6
